channel_id,channel_name,lang,notes
UC8yHePe_RgUBE-waRWy6olw,PIVOT 公式チャンネル,ja,
UCeCmAYh1ylwIsgGrmqaklzg,TBS CROSS DIG with Bloomberg,en,
UCPMJKbrxtpARoTd1b49iUvA,楽待 RAKUMACHI,ja,
UCfTnJmRQP79C4y_BMF_XrlA,NewsPicks /ニューズピックス,ja,
UC7sEB_ylMuHJD4TjF4Ag1nw,田端大学　投資学部,ja,
UCUMZ7gohGI9HcU9VNsr2FJQ,Bloomberg Originals,en,
UCoUxsWakJucWg46KW5RsvPw,Financial Times,en,
UC-yRDvpR99LUc5l7i7jLzew,Bg2 Pod,en,
UCQUOscigSQWCVG8m-ZC8wiw,Broken Business Models,en,
UClWTCPVi-AU9TeCN6FkGARg,EO Global,en,
UC6t1O76G0jYXOAoYCm153dA,Lenny's Podcast,en,
UCLesNX-Yc1bb7mSMefESgSw,Nanalyze,en,
UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist,en,
UC1E1SVcVyU3ntWMSQEp38Yw,The Prof G Pod – Scott Galloway,en,
UCTcJVDgfw411rqWCHb-16lg,文藝春秋PLUS,ja,
UChyLk7utaMRsA7qZ6zT8UUg,ダイヤモンド社 THE BOOKS,ja,
UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ ダイジェスト,ja,
UCiMwbmcCSMORJ-85XWhStBw,安野貴博の自由研究,ja,
UC9V4eJBNx_hOieGG51NZ6nA,フェルミ漫画大学,ja,
UChqRyUd4wT9eQvbbbQbibOQ,AIでゆっくり本要約チャンネル,ja,
UCslnxln9FxCuTz3qLLTIm_A,flier 公式チャンネル,ja,
UCsy9I56PY3IngCf_VGjunMQ,Zeihan on Geopolitics,en,
